Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
"diacenaphtheno[5,5a,6-d,e:5,5a,6-p,q]-2,8,14,20,25,27-hexaazapentacyclo[19.3.1.13,7.19,13.115,19]octacosa-1(25),2,7(28),9(27),10,12,15(26),19,21,23-decaene",C1CC2=CC=C3\C4=N\C5=CC=CC(=N5)\N=C5/C=C(NC6=NC(NC(=C/4)C4=CC=C1C2=C34)=CC=C6)C1=CC=C2CCC3=CC=C/5C1=C23,590.687,,1795.69,24.85,Article; Berezina; Vorob'ev; Russian Journal of Physical Chemistry A; vol. 79; 4; (2005); p. 579 - 582;,H2O,Solubility: 0.00304 mol/kg,JPSXYGBHOZUZJX-ROIZXALESA-N
"diacenaphtheno[5,5a,6-i,j:5,5a,6-t,u]-24,26-dithia-2,4,5,7,13,15,16,18-octaazapentacyclo[17.3.1.13,6.114,17]hexacosa-1,3,5,7,12(25),14,16,19(23)-octaene",C1CC2=CC=C3C4=C2C1=CC=C4C1=C\C\3=N/C2=NN=C(S2)\N=C2/C=C(NC3=NN=C(N1)S3)C1=CC=C3CCC4=CC=C/2C1=C34,604.718,,13848.04,24.85,Article; Berezina; Vorob'ev; Russian Journal of Physical Chemistry A; vol. 79; 4; (2005); p. 579 - 582;,H2O,Solubility: 0.0229 mol/kg,ZDWFAGUHKYSKFZ-NDJJPUBLSA-N
"5,23-diphenyldiacenaphtheno[5,5a,6-i,j:5,5a,6-t,u]-2,4,5,7,13,15,16,18,24,26-decaazapentacyclo[17.3.1.13,6.18,12.114,17]hexacosa-1,3,6(26),7,12(25),14,17(24),19(23)-octaene",C1CC2=CC=C3/C4=N/C5=NC(=NN5C5=CC=CC=C5)\N=C5/C=C(NC6=NC(NC(=C\4)C4=CC=C1C2=C34)=NN6C1=CC=CC=C1)C1=CC=C2CCC3=CC=C/5C1=C23,722.811,,9685.67,24.85,Article; Berezina; Vorob'ev; Russian Journal of Physical Chemistry A; vol. 79; 4; (2005); p. 579 - 582;,H2O,Solubility: 0.0134 mol/kg,AVTGKFSWKKKBKO-XJOBXCNUSA-N
,[H][C@@]12O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]3([H])O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]4([H])O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]5([H])O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]6([H])O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]7([H])O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]8([H])O[C@H](CSCC(O)CO)[C@@]([H])(O[C@@]9([H])O[C@H](CSCC(O)CO)[C@@]([H])(O1)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O,2018.31,1331739-93-5,220000,25,"Article; Wang, Hai Ming; Wenz, Gerhard; Chemistry - An Asian Journal; vol. 6; 9; (2011); p. 2390 - 2399;",water,Solubility: 22 g/100g solvent,JYVJIQRKZRILJG-IOGRPPGMSA-N
2-hydroxy-3-methylamino-butyric acid; alpha-Oxy-beta-methylamino-buttersaeure; 2-Hydroxy-3-methylamino-buttersaeure,CNC(C)C(O)C(O)=O,133.147,,555555.56,12,"Article; Zelinsky; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 16; (1884); p. 687; Chemische Berichte; vol. 18; (1885); p. Ref.,105;",H2O,1 part(s) of substance.dissolves in:1.8 parts of solvent.,HYJMBCQUIGBPJW-UHFFFAOYSA-N
"1-ethyl-2-amino-5-methyl-1,5-dihydro-imidazol-4-one; 1-Aethyl-2-amino-5-methyl-1,5-dihydro-imidazol-4-on",CCN1C(C)C(=O)N=C1N,141.173,,270270.27,17,Article; Duvillier; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 100; (1885); p. 916;,H2O,1 part(s) of substance.dissolves in:3.7 parts of solvent.,MMRRJUAJAOBMJY-UHFFFAOYSA-N
"4,6,10-trioxa-1-aza-adamantane; 4,6,10-Trioxa-1-aza-adamantan",C1C2OC3CN1CC(O2)O3,143.142,281-36-7,210526.32,0,"Article; Wolff; Marburg; Justus Liebigs Annalen der Chemie; vol. 363; (1908); p. 192,194;",H2O,1 part(s) of substance.dissolves in:4.5-5 parts of solvent.,KAIOVCWKGLTJGE-UHFFFAOYSA-N
beta-guanidino-alpha-methyl-acrylic acid ; trans-form; beta-Guanidino-alpha-methyl-acrylsaeure; trans-Form,C\C(=C/NC(N)=N)C(O)=O,143.145,,800,25,Article; Johnson; Clapp; American Chemical Journal; vol. 32; (1904); p. 144;,H2O,0.08 part(s) of substance.dissolves in:100 parts of solvent.,URSXUGJMDAXQEK-NSCUHMNNSA-N
beta-guanidino-alpha-methyl-acrylic acid ; cis-form; beta-Guanidino-alpha-methyl-acrylsaeure; cis-Form,C\C(=C\NC(N)=N)C(O)=O,143.145,,8400,25,Article; Johnson; Clapp; American Chemical Journal; vol. 32; (1904); p. 144;,H2O,0.84 part(s) of substance.dissolves in:100 parts of solvent.,URSXUGJMDAXQEK-IHWYPQMZSA-N
"3-ethoxy-[1,2,4]thiadiazol-5-ylamine; 3-Aethoxy-[1,2,4]thiadiazol-5-ylamin",CCOC1=NSC(N)=N1,145.185,98022-62-9,32400,20,"Article; Goerdeler; Bechlars; Chemische Berichte; vol. 88; (1955); p. 843,847, 848;",H2O,100 g solvent dissolves. 3.24 g Substance.,MSMILNFZKAKCKE-UHFFFAOYSA-N
3-hydroxy-isoasparagine ; DL-threo-3-hydroxy-aspartic acid-1-amide; 3-Hydroxy-isoasparagin; DL-threo-3-Hydroxy-asparaginsaeure-1-amid; (+/-)-threo-3-Amino-2-hydroxy-bernsteinsaeure-4-amid; DL-threo-3-Hydroxy-asparaginsaeure-1-amid,[H][C@@](N)(C(N)=O)[C@]([H])(O)C(O)=O,148.119,32503-98-3,8000,18,Article; Chibnall; Cannan; Biochemical Journal; vol. 24; (1930); p. 953;,H2O,1 part(s) of substance.dissolves in:125 parts of solvent.,XTAAXERUXNEDCQ-LWMBPPNESA-N
meso-tartaric acid monoamide; Mesoweinsaeure-monoamid; Mesotartramidsaeure,[H][C@](O)(C(N)=O)[C@]([H])(O)C(O)=O,149.103,634-64-0; 60574-00-7,61000,22,"Article; Badoche; Annales de Chimie (Cachan, France); vol. <11>18; (1943); p. 155; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 216; (1943); p. 64;",H2O,100 g solvent dissolves. 6.1 g Substance.,ZYPJGOCQEPYWIE-NCGGTJAESA-N
4-(N-methyl-guanidino)-butyric acid; 4-(N-Methyl-guanidino)-buttersaeure; gamma-(Methyl-guanyl-amino)-buttersaeure; gamma-(Methylguanidino)-buttersaeure,CN(CCCC(O)=O)C(N)=N,159.188,,8333.33,25,Article; Gansser; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 61; (1909); p. 46;,H2O,1 part(s) of substance.dissolves in:120 parts of solvent.,PTRPVIZARWPORR-UHFFFAOYSA-N
"4-ethyl-2-methyl-hexane-3,4-diol; alpha.alpha-Diaethyl-alpha'-isopropyl-aethylenglykol; 4-Aethyl-2-methyl-hexan-3,4-diol",CCC(O)(CC)C(O)C(C)C,160.257,,7500,15,Article; Nicolle; Bulletin de la Societe Chimique de France; vol. <4>39; (1926); p. 65;,H2O,Solubility :0.75 percent.,YUDVTWCLSMJJHY-UHFFFAOYSA-N
2-amino-3-hydroxy-2-methyl-succinic acid; alpha'-Oxy-alpha-amino-alpha-methyl-bernsteinsaeure; 2-Amino-3-hydroxy-2-methyl-bernsteinsaeure; 2-Amino-2-methyl-butanol-(3)-disaeure,CC(N)(C(O)C(O)=O)C(O)=O,163.13,,310000,18,Article; Melikow; Feldmann; Justus Liebigs Annalen der Chemie; vol. 253; (1889); p. 87;,H2O,31 part(s) of substance.dissolves in:100 parts of solvent.,SGKFLXSYQNTWEO-UHFFFAOYSA-N
5-ethylsulfanyl-resorcinol; 3.5-Dihydroxy-1-aethylmercapto-benzol; Aethyl-(3.5-dihydroxy-phenyl)-sulfid; 5-Aethylmercapto-resorcin,CCSC1=CC(O)=CC(O)=C1,170.232,,1400,20,"Article; Suter; Harrington; Journal of the American Chemical Society; vol. 59; (1937); p. 2575,2577;",H2O,100 g solvent dissolves. 0.14 g Substance.,ZGSRRXHFCRRAPP-UHFFFAOYSA-N
"2-(5-methyl-3-oxo-2,3-dihydro-[1,2,4]triazol-1-yl)-propionic acid; 2-(5-Methyl-3-oxo-2,3-dihydro-[1,2,4]triazol-1-yl)-propionsaeure",CC(N1NC(=O)N=C1C)C(O)=O,171.156,,2222.22,20,Article; Bailey; Acree; Chemische Berichte; vol. 33; (1900); p. 1531;,H2O,1 part(s) of substance.dissolves in:450 parts of solvent.,KSVPLYZNLPNTRP-UHFFFAOYSA-N
4-amino-toluene-2-sulfinic acid; 4-Amino-toluol-2-sulfinsaeure,CC1=C(C=C(N)C=C1)S(O)=O,171.22,85419-59-6,4600,11,"Article; Limpricht; Heffter; Justus Liebigs Annalen der Chemie; vol. 221; (1883); p. 350,354;",H2O,0.46 part(s) of substance.dissolves in:100 parts of solvent.,WOGWTJKCUNGKMU-UHFFFAOYSA-N
2-amino-toluene-4-sulfinic acid; 2-Amino-toluol-4-sulfinsaeure,CC1=C(N)C=C(C=C1)S(O)=O,171.22,,1476,12,Article; Limpricht; Paysan; Justus Liebigs Annalen der Chemie; vol. 221; (1883); p. 363;,H2O,100 g solvent dissolves. 0.1476 g Substance.,MIBCFZQOWARAJO-UHFFFAOYSA-N
(1-carbamoyl-propyl)-carbamic acid ethyl ester; (1-Carbamoyl-propyl)-carbamidsaeure-aethylester; alpha-(Carbaethoxy-amino)-buttersaeure-amid,CCOC(=O)NC(CC)C(N)=O,174.2,,50000,20,Article; Koenigs; Mylo; Chemische Berichte; vol. 41; (1908); p. 4437;,H2O,1 part(s) of substance.dissolves in:20 parts of solvent.,KZCHNZIFCMGNCV-UHFFFAOYSA-N
7(9)H-purine-6-carboxylic acid methylamide; 7(9)H-Purin-6-carbonsaeure-methylamid,CNC(=O)C1=NC=NC2=C1NC=N2,177.165,78564-54-2,735.29,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 3932,3935;",H2O,1360 g solvent dissolves. 1 g Substance.,YMXDJOFKHVZJCO-UHFFFAOYSA-N
trans-crotonic acid-(4-hydroxy-anilide); trans-Crotonsaeure-(4-hydroxy-anilid),C\C=C\C(=O)NC1=CC=C(O)C=C1,177.203,125349-99-7,400,20,Article; Kuhn; Koehler; Koehler; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 247; (1937); p. 204;,H2O,1000 g solvent dissolves. 0.400 g Substance.,DAQBOXIXALYCPJ-NSCUHMNNSA-N
(7(9)H-purin-6-yl)-urea; (7(9)H-Purin-6-yl)-harnstoff,NC(=O)NC1=C2NC=NC2=NC=N1,178.153,5657-36-3,303.03,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 3932,3935;",H2O,3300 g solvent dissolves. 1 g Substance.,SWHVLOSJGVXZDK-UHFFFAOYSA-N
N-(2-methoxy-phenyl)-N-methyl-urea; N-(2-Methoxy-phenyl)-N-methyl-harnstoff,COC1=C(C=CC=C1)N(C)C(N)=O,180.206,,404202.1,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 2.243 Mol Substance.,WHNUNCMMRMMWHP-UHFFFAOYSA-N
N-(3-methoxy-phenyl)-N-methyl-urea; N-(3-Methoxy-phenyl)-N-methyl-harnstoff,COC1=CC=CC(=C1)N(C)C(N)=O,180.206,,21444.5,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.119 Mol Substance.,CMZVPFZKJDSXHM-UHFFFAOYSA-N
2-hydroxycyclohexyl methacrylate,CC(=C)C(=O)OC1CCCCC1O,184.235,,60000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 6.0 weight percent,VALVZMYXOGXJRP-UHFFFAOYSA-N
5-propylsulfanyl-resorcinol; 3.5-Dihydroxy-1-propylmercapto-benzol; Propyl-(3.5-dihydroxy-phenyl)-sulfid; 5-Propylmercapto-resorcin,CCCSC1=CC(O)=CC(O)=C1,184.259,,800,20,"Article; Suter; Harrington; Journal of the American Chemical Society; vol. 59; (1937); p. 2575,2577;",H2O,100 g solvent dissolves. 0.08 g Substance.,SDGRDAZGHUIWND-UHFFFAOYSA-N
(3-methyl-but-1-enyl)-succinic acid; (3-Methyl-but-1-enyl)-bernsteinsaeure,CC(C)\C=C\C(CC(O)=O)C(O)=O,186.208,,18630,25,Article; Fittig; Erlenbach; Justus Liebigs Annalen der Chemie; vol. 304; (1899); p. 322;,H2O,1.863 part(s) of substance.dissolves in:100 parts of solvent.,CABMNXRRLJQEIL-ONEGZZNKSA-N
"2,6-diamino-toluene-4-sulfinic acid; 2,6-Diamino-toluol-4-sulfinsaeure",CC1=C(N)C=C(C=C1N)S(O)=O,186.235,,474,20.5,Article; Perl; Chemische Berichte; vol. 18; (1885); p. 67;,H2O,100 g solvent dissolves. 0.0474 g Substance.,PKDWKHCPZGOMJG-UHFFFAOYSA-N
1-ethoxy-2-methyl-cyclohexanecarboxylic acid; 1-Aethoxy-2-methyl-cyclohexancarbonsaeure; 1-Aethoxy-hexahydro-o-toluylsaeure,CCOC1(CCCCC1C)C(O)=O,186.251,,3400,15.5,Article; Sernow; Chemische Berichte; vol. 32; (1899); p. 1168; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 31; (1899); p. 366; Chemisches Zentralblatt; vol. 70; I; (1899); p. 99;,H2O,1000 g solvent dissolves. 3.4 g Substance.,GQGRANWPOFWETQ-UHFFFAOYSA-N
6-(N-methyl-guanidino)-hexanoic acid; 6-(N-Methyl-guanidino)-hexansaeure; N-Methyl-N-(5-carboxy-pentyl)-guanidin; 6-(N-Methyl-guanidino)-capronsaeure; epsilon-Methylguanidino-n-capronsaeure,CN(CCCCCC(O)=O)C(N)=N,187.242,,14492.76,20,Article; Thomas; Goerne; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 104; (1919); p. 85;,H2O,1 part(s) of substance.dissolves in:69 parts of solvent.,MUBGQFFSEYCHFG-UHFFFAOYSA-N
(+/-)-threo-2.3-dihydroxy-pelargonic acid; (+/-)-threo-2.3-Dihydroxy-pelargonsaeure,[H][C@@](O)(CCCCCC)[C@]([H])(O)C(O)=O,190.24,90677-53-5,5400,20,"Article; Breusch; Tulus; Istanbul Universitesi Fen Fakultesi Mecmuasi, Seri A: Matematik-Fizik-Kimya; vol. 12; (1947); p. 291; Chem.Abstr.; (1948); p. 6751;",H2O,Solubility :0.54 percent.,ALUALOYLCXZDMJ-SFYZADRCSA-N
(7(9)H-purin-6-yl)-carbamic acid methyl ester; (7(9)H-Purin-6-yl)-carbamidsaeure-methylester,COC(=O)NC1=C2NC=NC2=NC=N1,193.165,98280-04-7,625,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 3932,3935;",H2O,1600 g solvent dissolves. 1 g Substance.,ZIXLQZZOPCEFIK-UHFFFAOYSA-N
3-nitro-benzaldehyd-(N-ethyl oxime ); 3-Nitro-benzaldehyd-(N-aethyl-oxim),CCN(=O)=CC1=CC(=CC=C1)N(=O)=O,194.19,,11111.11,20,Article; Goldschmidt; Kjellin; Chemische Berichte; vol. 24; (1891); p. 2816;,H2O,1 part(s) of substance.dissolves in:90 parts of solvent.,BPMUNFTZGMLZBV-UHFFFAOYSA-N
N-ethyl-N-(2-methoxy-phenyl)-urea; N-Aethyl-N-(2-methoxy-phenyl)-harnstoff,CCN(C(N)=O)C1=C(OC)C=CC=C1,194.233,,53608.31,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.276 Mol Substance.,FOYYJZHQLVFUME-UHFFFAOYSA-N
N-ethyl-N-(3-methoxy-phenyl)-urea; N-Aethyl-N-(3-methoxy-phenyl)-harnstoff,CCN(C(N)=O)C1=CC(OC)=CC=C1,194.233,,11459.75,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.059 Mol Substance.,OYMQFJSAIOOVEL-UHFFFAOYSA-N
N-(2-ethoxy-phenyl)-N-methyl-urea; N-(2-Aethoxy-phenyl)-N-methyl-harnstoff,CCOC1=C(C=CC=C1)N(C)C(N)=O,194.233,,30494.58,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.157 Mol Substance.,MEAYEYJYWJBWBZ-UHFFFAOYSA-N
N-(3-ethoxy-phenyl)-N-methyl-urea; N-(3-Aethoxy-phenyl)-N-methyl-harnstoff,CCOC1=CC=CC(=C1)N(C)C(N)=O,194.233,,6215.46,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.032 Mol Substance.,RMJWKRCQDORPSK-UHFFFAOYSA-N
glucosaminoic acid; Glykosaminsaeure,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)C(N)C(O)=O,195.172,488-32-4; 3646-68-2; 4753-21-3; 6165-14-6; 6708-50-5; 16932-62-0; 81176-80-9,1742.16,20,"Article; Fischer,E.; Leuchs; Chemische Berichte; vol. 35; (1902); p. 3797; Chemisches Zentralblatt; vol. 73; I; (1902); p. 762;",H2O,1 part(s) of substance.dissolves in:574 parts of solvent.; dl-form,UFYKDFXCZBTLOO-NLJOEYPJSA-N
glucosaminoic acid; Glykosaminsaeure,[H][C@](O)(CO)[C@]([H])(O)[C@@]([H])(O)C(N)C(O)=O,195.172,488-32-4; 3646-68-2; 4753-21-3; 6165-14-6; 6708-50-5; 16932-62-0; 81176-80-9,29411.76,20,"Article; Fischer,E.; Leuchs; Chemische Berichte; vol. 35; (1902); p. 3797; Chemisches Zentralblatt; vol. 73; I; (1902); p. 762;",H2O,1 part(s) of substance.dissolves in:34 parts of solvent.; l-glucosaminoic acid,UFYKDFXCZBTLOO-CNJPHJQNSA-N
1-ethyl-uric acid; 1-Aethyl-harnsaeure,CCN1C(=O)NC2=C(NC(=O)N2)C1=O,196.166,,1818.18,25,Article; Biltz; Wittek; Chemische Berichte; vol. 54; (1921); p. 1039;,H2O,1 part(s) of substance.dissolves in:550 parts of solvent.,PYKDRCOQHVRXTE-UHFFFAOYSA-N
"6-hydroxy-1,3,7-trimethyl-1,3,6,7-tetrahydro-purin-2-one; 6-Hydroxy-1,3,7-trimethyl-1,3,6,7-tetrahydro-purin-2-on",CN1C=NC2=C1C(O)N(C)C(=O)N2C,196.209,,83333.33,20,"Article; Baillie; Tafel; Chemische Berichte; vol. 32; (1899); p. 3207,3208;",H2O,1 part(s) of substance.dissolves in:12 parts of solvent.,KDKRTMQEIPSZOD-UHFFFAOYSA-N
"(1R)-2-amino-1,7,7-trimethyl-norbornane-2exo-carboxylic acid; (1R)-2-Amino-1,7,7-trimethyl-norbornan-2exo-carbonsaeure",CC1(C)[C@@H]2CC[C@@]1(C)[C@@](N)(C2)C(O)=O,197.277,6266-05-3; 17138-08-8; 88980-21-6; 88980-22-7,5000,20,"Article; Hoyer; Chemische Berichte; vol. 83; (1950); p. 491,497; Chemische Berichte; vol. 87; (1954); p. 1849,1855;",H2O,100 g solvent dissolves. 0.5 g Substance.,JZJKRUCQCUXZTD-AVPPRXQKSA-N
(1R)-trans-camphoric acid-3-amide; (1R)-trans-Camphersaeure-3-amid,CC1(C)[C@@H](CC[C@@]1(C)C(O)=O)C(N)=O,199.25,6785-98-4; 6785-99-5; 20055-68-9; 139402-69-0,7000,19,"Article; Delepine; Badoche; Annales de Chimie (Cachan, France); vol. <11> 17; (1942); p. 179,180;",H2O,100 g solvent dissolves. 0.7 g Substance.,NPCHNZVQOCCEIW-WKEGUHRASA-N
dl-trans-camphenoic acid; dl-trans-Camphensaeure,CC(C)([C@@H]1CC[C@H](C1)C(O)=O)C(O)=O,200.235,473-35-8,3200,19.5,"Article; Aschan; Justus Liebigs Annalen der Chemie; vol. 383; (1911); p. 33,37; Justus Liebigs Annalen der Chemie; vol. 410; (1915); p. 229;",H2O,100 g solvent dissolves. 0.32 g Substance.,QSRHRQWRLFGZKS-RNFRBKRXSA-N
"4,7-dioxo-decanoic acid; 4,7-Dioxo-decansaeure",CCCC(=O)CCC(=O)CCC(O)=O,200.235,,15000,20,"Article; Breusch; Ulusoy; Istanbul Universitesi Fen Fakultesi Mecmuasi, Seri A: Matematik-Fizik-Kimya; vol. 13; (1948); p. 54; Chem.Abstr.; (1948); p. 5850;",H2O,Solubility:1.5 percent.,OUEZUXSRCSDWFC-UHFFFAOYSA-N
"1,1-bis-methanesulfonyl-propane; alpha.alpha-Bis-methylsulfon-propan; 1,1-Bis-methansulfonyl-propan",CCC(S(C)(=O)=O)S(C)(=O)=O,200.28,,11111.11,15,Article; Baumann; Kast; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 14; (1890); p. 55;,H2O,1 part(s) of substance.dissolves in:90 parts of solvent.,BRRBKYKQHCNLTB-UHFFFAOYSA-N
6-methylamino-toluene-3-sulfonic acid; 6-Methylamino-toluol-3-sulfonsaeure,CNC1=CC=C(C=C1C)S(O)(=O)=O,201.246,,34980,15,Article; Gnehm; Blumer; Justus Liebigs Annalen der Chemie; vol. 304; (1899); p. 105;,H2O,3.498 part(s) of substance.dissolves in:100 parts of solvent.,VRWMDFIZUGGKML-UHFFFAOYSA-N
"pent-1-ene-1,3,4-tricarboxylic acid; Pent-1-en-1,3,4-tricarbonsaeure",CC(C(C=CC(O)=O)C(O)=O)C(O)=O,202.164,871888-46-9,333333.33,20,"Article; Kuester; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 130; (1923); p. 4,11;",H2O,1 part(s) of substance.dissolves in:3 parts of solvent.; lower-melting pentene-(1)-tricarboxylic acid-(1.3.4),WUDHWVQIXXYAGZ-UHFFFAOYSA-N
"3-ethyl-decane-3,4-diol; alpha.alpha-Diaethyl-alpha'-n-hexyl-aethylenglykol; 3-Aethyl-decan-3,4-diol",CCCCCCC(O)C(O)(CC)CC,202.337,,700,15,Article; Nicolle; Bulletin de la Societe Chimique de France; vol. <4>39; (1926); p. 65;,H2O,Solubility :0.07 percent.,OKHVSVWXNBAZKC-UHFFFAOYSA-N
"2,3'-acetylimino-di-propionic acid; N-Acetyl-N-(1-carboxy-aethyl)-beta-alanin; N-Acetyl-N-(2-carboxy-aethyl)-DL-alanin; 2,3'-Acetylimino-di-propionsaeure",CC(N(CCC(O)=O)C(C)=O)C(O)=O,203.195,,600000,25,Article; McKinney et al.; Journal of the American Chemical Society; vol. 74; (1952); p. 5183;,H2O,100 g solvent dissolves. 60 g Substance.,KZTJCLJWIVFCLV-UHFFFAOYSA-N
2-amino-toluene-4-thiosulfonic acid; 2-Amino-toluol-4-thiosulfonsaeure,CC1=C(N)C=C(C=C1)S(S)(=O)=O,203.286,,12500,8,Article; Limpricht; Paysan; Justus Liebigs Annalen der Chemie; vol. 221; (1883); p. 363;,H2O,100 g solvent dissolves. 1.25 g Substance.,SIWVFCDEVNCNAQ-UHFFFAOYSA-N
3-bromo-5-methyl-furan-2-carboxylic acid; 3-Brom-5-methyl-furan-2-carbonsaeure,CC1=CC(Br)=C(O1)C(O)=O,205.008,,2800,21.4,Article; Hill; Jennings; American Chemical Journal; vol. 15; (1893); p. 184;,H2O,Solubility :0.28 percent.,HHUGUMIHJRHVRY-UHFFFAOYSA-N
"O1,O3;O4,O6-dimethanediyl-galactitol; O1,O3;O4,O6-Dimethandiyl-galactit",OC1COCOC1C1OCOCC1O,206.196,1219398-50-1,23809.52,4,Article; Weber; Tollens; Chemische Berichte; vol. 30; (1897); p. 2513; Justus Liebigs Annalen der Chemie; vol. 299; (1898); p. 335;,H2O,1 part(s) of substance.dissolves in:42 parts of solvent.,GXZHFJMSTUZHEU-UHFFFAOYSA-N
N-m-tolylacetyl-glycine; N-m-Tolylacetyl-glycin; m-Tolylacetaminoessigsaeure; m-Tolylacetursaeure,CC1=CC=CC(CC(=O)NCC(O)=O)=C1,207.229,111325-41-8,3000,20,Article; Fromherz; Hermanns; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 89; (1914); p. 117;,H2O,100 g solvent dissolves. 0.3 g Substance.,REHOCKCHIHJNOS-UHFFFAOYSA-N
"2,5-diamino-Dg-threo-3,4-dihydroxy-adipic acid; 2,5-Diamino-Dg-threo-3,4-dihydroxy-adipinsaeure; 2.5-Diamino-Dg-threo-3.4-dihydroxy-hexandisaeure",[H][C@@](O)(C(N)C(O)=O)[C@]([H])(O)C(N)C(O)=O,208.171,,500,25,"Article; Fischer; Feldmann; Helvetica Chimica Acta; vol. 19; (1936); p. 538,539;",H2O,1 part(s) of substance.dissolves in:2000 parts of solvent.,AHAIAWWITBGKOF-BBYHKKGFSA-N
N-(2-ethoxy-phenyl)-N-ethyl-urea; N-(2-Aethoxy-phenyl)-N-aethyl-harnstoff,CCOC1=C(C=CC=C1)N(CC)C(N)=O,208.26,,49357.62,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.237 Mol Substance.,XJDVZWHOKDYJEB-UHFFFAOYSA-N
N-(3-ethoxy-phenyl)-N-ethyl-urea; N-(3-Aethoxy-phenyl)-N-aethyl-harnstoff,CCOC1=CC=CC(=C1)N(CC)C(N)=O,208.26,,15202.98,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.073 Mol Substance.,YZGHKIVQDWBQBJ-UHFFFAOYSA-N
"5-ethyl-2,6-dipropyl-3H-pyrimidin-4-one; 5-Aethyl-2,6-dipropyl-3H-pyrimidin-4-on",CCCC1=NC(CCC)=C(CC)C(=O)N1,208.304,,668,23,Article; v. Meyer; Journal fuer Praktische Chemie (Leipzig); vol. <2> 37; (1888); p. 398;,H2O,1 part(s) of substance.dissolves in:1497 parts of solvent.,XHGZXNKJJOKZIL-UHFFFAOYSA-N
L-lactic acid p-phenetidide; L-Milchsaeure-p-phenetidid,[H][C@@](C)(O)C(=O)NC1=CC=C(OCC)C=C1,209.245,539-08-2; 21931-58-8,4000,20,"Article; Brand; Priesner; Archiv der Pharmazie (Weinheim, Germany); vol. 285; (1952); p. 26,30;",H2O,100 g solvent dissolves. 0.400 g Substance.,GHZNWXGYWUBLLI-QMMMGPOBSA-N
2-methoxy-5-ureido-benzoic acid; 2-Methoxy-5-ureido-benzoesaeure,COC1=C(C=C(NC(N)=O)C=C1)C(O)=O,210.189,,2500,15,Article; Behrend; Herrmann; Justus Liebigs Annalen der Chemie; vol. 429; (1922); p. 164;,H2O,1 part(s) of substance.dissolves in:400 parts of solvent.,IGUCGSNJEWJRSM-UHFFFAOYSA-N
